Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
1.55,5.4139180654519246,0.7006793603268904,1.356314410471205
1.575,4.90112875913364,0.9948020565687531,0.810975013729844
1.6,4.329101797298113,1.2787815034326777,0.22517445788509702
1.625,3.73717237521963,1.516749675243897,-0.34444591734678515
1.65,3.1606253636944555,1.6835426408104468,-0.8556403793982091
1.675,2.6600558744634215,1.7825126038896986,-1.2987170534639507
1.7,2.3502777708703597,1.84798630520713,-1.68289618589561
1.725,2.2871513298679473,1.9232081334074047,-2.021761345703369
1.75,2.382655701784112,2.033619153598114,-2.325939134632822
1.775,2.504190324441735,2.167612735010275,-2.60369728232761
1.8,2.555477129083633,2.277568666282099,-2.8416054194428133
1.825,2.4910541658651066,2.3152359090812147,-3.0308285050251293
1.85,2.3121811778408228,2.2633365987816596,-3.177412168811756
1.875,2.0753248109051086,2.1495249523281283,-3.285643071341595
1.9,1.8734178594271136,2.0202906335098905,-3.361715992784029
1.925,1.7734568670390936,1.908487254705612,-3.424983081942445
1.95,1.7818876767363039,1.8224644145512015,-3.495125503554763
1.975,1.8547104652128734,1.7565537537625013,-3.5798154549023185
2.0,1.9190451091583771,1.7123063784417294,-3.681296619180369
2.025,1.9373921548450315,1.6835721221240132,-3.7910129166313835
2.05,1.9268934625541576,1.657128059160612,-3.896080027916132
2.075,1.9206330906900548,1.6262470917949179,-3.9939269568369085
2.1,1.912935220296129,1.588952680012243,-4.085099604117811
2.125,1.8849017572434863,1.533901380052408,-4.163405214768642
2.15,1.8832187521861203,1.439334638380168,-4.232275769906995
2.175,1.9352117970128913,1.2795498951396678,-4.2969785901760975
2.2,1.9564153193744644,1.0461098095074857,-4.351024018627673
2.225,1.8530017321419838,0.7451288193782293,-4.394055246274241
2.25,1.6137435971342629,0.3848029537295692,-4.450940592645331
2.275,1.3091943542873539,-0.021832048858108126,-4.540609348086822
2.3,0.990667615942392,-0.48022076414351195,-4.646866244378328
2.325,0.6469400753103798,-1.0101713712368945,-4.7323455214024435
2.35,0.26212829497623436,-1.6091133801593238,-4.76348923923552
2.375,-0.15957674381583561,-2.2192812712156664,-4.734795877699911
2.4,-0.5551808863594019,-2.738531751960702,-4.683470058465257
2.425,-0.8359084009090725,-3.0965404134706267,-4.658070906640754
2.45,-0.92076357319339,-3.294597016571457,-4.680095376084877
2.475,-0.7282574968931972,-3.378357044215059,-4.776600792996928
2.5,-0.2751973393703492,-3.4004819216496673,-4.938251491342348
2.525,0.2665426113289152,-3.400018002412446,-5.111274184301868
2.55,0.7438396577321524,-3.375566434245733,-5.258746906369556
2.575,1.1440955962243617,-3.296008242720241,-5.384194309370978
2.6,1.4629388046357783,-3.1524483966080155,-5.501248277838199
2.625,1.679462249444922,-2.9546735859220243,-5.6217120799787965
2.65,1.835162788287919,-2.7135569860784488,-5.754896543390984
2.675,2.001074500756636,-2.4406921760132447,-5.914963438986709
2.7,2.194082125754523,-2.1536953696909413,-6.105248271194934
2.725,2.363770974193465,-1.871662649683661,-6.307424787677608
2.75,2.4710695575372483,-1.5967001642097043,-6.50955221315117
2.775,2.5116522852509853,-1.333998223709517,-6.697026287758949
2.8,2.4900846133525696,-1.0916925084827396,-6.855585670156821
2.825,2.4408934619858433,-0.8773540680019675,-6.981374950868218
2.85,2.4176718958764205,-0.6877953424335312,-7.090053410772375
2.875,2.4126084235916028,-0.5178321842933855,-7.214573571082029
2.9,2.3686286471408082,-0.3528838569819241,-7.399223344968202
2.925,2.2692538761387926,-0.16963513812616277,-7.650467298148006
2.95,2.141664047875785,0.04698200214140821,-7.941467693212118
2.975,1.9835592264237378,0.3037890904556574,-8.273074538553999
3.0,1.745889248949609,0.6051342022127036,-8.640237417799025
3.025,1.4123910738244412,0.9518752128589915,-9.007170530951502
3.05,0.9800840083051707,1.2958464640580782,-9.299942062296847
3.075,0.5127920238219759,1.57810870930474,-9.454634119910276
3.1,0.07920171598841658,1.7438943662940023,-9.423458049895775
3.125,-0.31927538245621734,1.7709496438744725,-9.15634958006659
